bitstring,count
000000001111001000001111,11
000000001111010000001100,1
000000101110000000001111,2
000011010100000000001111,1
011011000001000000001111,3
000001001111100001001110,1
010100011001001010110001,1
000110111100001000001011,1
010000001110000000001111,1
000000001111000000001101,8
001001000111001010010010,1
101000010001000100001011,1
000100101101011000110000,1
100000101111000001001011,1
011000111100000000001111,1
000000101101000000000111,1
000010110001000000001111,1
010000001111000000000110,1
000100110101000000001111,1
000000001111010000101100,3
000000001111011010001001,1
000100001111000000000011,1
000000001111100010000000,1
000000001111010010110001,1
000000001111111100101001,1
000000001111001111100110,1
011100011011010000000010,1
000100001111010010110111,1
000110000010001000011010,1
000000001111011110011001,1
000000111101000000101111,1
000000001111000010001111,8
111110010100000000011010,1
110110000101000000101100,1
000000001111111010100001,1
011011101100100010000111,1
111011000101010000001100,1
100100101110100010000011,1
010000000010000000001111,1
001000101111010010111101,1
001000000101000000001111,1
000000000111000000001011,1
000000001111110000000111,1
000110110100010000001111,1
000010111101010000001001,1
001000101101000000001011,1
010010010000010000100010,1
000010101110000000001111,1
000010000111000001001110,1
000000101111000000001111,8
001010001010000011011111,1
000000001111000010000111,10
000001001001000010000101,1
000000001111001000101101,2
000010100011101010100010,1
010000000001000000001111,2
001010100011000001001001,1
010010001011000001000110,1
000000011110010110010111,1
000000001111100010000111,1
000000001111010100001011,1
000100001101000000000111,2
111010100000101010100000,1
101000101100000010011111,1
110010101010000010001111,1
000010000101000010001010,1
010000011101001000001011,1
011010001110101010110000,1
000000001111100001001111,1
000010001101100010100101,1
010100100001000000001111,1
101000001111010000001101,1
000000001111111110001001,1
000000001111101000010000,1
010000000111100000011111,1
111011101100001111010001,1
100010001111101100101100,1
000000101110010010000111,1
000000001101010010110100,1
000000001111000010111011,1
000000001111011010100100,2
111110111100000000001111,1
010000011100000000001111,1
000000001110010001001101,1
000000110101100100111110,1
000000111111000100001111,1
001000000100010011111101,1
000000011111000011001111,1
000001001111000000001111,11
000010011101000000001111,1
000110001000000000001111,1
010100100101000000001010,1
000000001111101111010100,1
001010101001000000001110,1
001000001111000000001111,7
000000001011000000001111,4
010000001111000000001111,8
000101001100001010000001,1
000000001111101010100001,3
010110000000011010101111,1
001100001100000000001111,1
100010000011000000001111,2
001000011011000000001111,1
000000101001000000001111,6
001000010001001000001101,1
000000001101000000001111,14
000010110000000000001111,4
000100111101010000001111,1
000000001111000000101100,3
111011001001010000101111,1
000010100111010000000111,1
100000101001001000010011,1
100011010010000000110111,1
011000001101000000000111,1
000111010110000000001111,1
000010000111001000101100,1
000000001111010000001111,4
000011000111000000011101,1
000001000111101110110011,1
001010110001000000001110,1
000110110110000000001011,1
011010100000000000001111,1
000000011110000000001111,8
010000101100001000001011,1
000110101001000010000101,1
000010010011000001001111,1
000000101100000000001111,2
000000001101010010001100,1
011100100001000000001111,1
000000001111000000000111,10
010000010101001000000111,1
000000001111000000101111,13
000000001111001000111111,1
000000001111000010110000,1
011000110111000000001101,1
000000001111000000001110,17
000011000011000001111011,1
001010100101000000001111,2
000111000101000000101110,1
000010101001000000001111,1
101000101000001110101010,1
110010100111001000001011,1
100100100010000000011110,1
100100010000000000001110,1
011011100101000100001110,1
010000001011000000001111,3
000001001111111000001001,1
010010010111000000001111,1
110010100110010100001101,1
011101011111000000001111,1
100000111011101101101011,1
011000111110000000001111,1
001110110001000000001111,1
010000001101011110010001,1
100110000010000000001111,1
010010110001000000011111,1
000010000111000000001111,9
010111011100010110000001,1
111111001111000010010000,1
010111001001000000111101,1
001000000110000110001001,1
000000001111000010101101,4
001101101001000000001110,1
101101101100000000001111,1
011010000000000000101101,1
000000001111000000110101,3
010110001010000000011111,1
011100011000000000101011,1
001100000111000000001111,1
101110001001100000011001,1
001010100000100001001111,1
001010000011101010000110,1
010010000111100000100101,1
000000110100000000011110,1
000010001111001000001111,2
000100000000000000001101,1
010110000000010000001101,1
010110010001000000101101,1
000000111101000110001111,1
100010100101010000001111,1
000000001111011000001110,1
000000001111000000011111,14
110000011011010100001111,1
001010000011000100001111,2
000100001111001010011011,1
000000001111011101100010,1
110100001101000000001111,1
011011000101000011100101,1
011011101110101011110000,1
100111101110000000001111,1
000010001111010000001101,3
001000011010101010110000,1
101000000100100000001101,1
111001010100001010100000,1
000000001110001000001111,2
000000001111001000111010,1
001000101101000000001110,1
